epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,672.876,1.53999,1.1138,1.20796,0.51671,0.47358,0.35031,0.18104,1.87667,1.25015,1.53554,0.000660045,0.000660045,0.000660045
43,688.558,1.5449,1.10346,1.20653,0.50774,0.39061,0.31456,0.17236,1.86948,1.3611,1.4937,0.000649046,0.000649046,0.000649046
44,702.616,1.55101,1.11846,1.20524,0.54064,0.34231,0.35874,0.1792,1.90668,1.29578,1.52323,0.000638047,0.000638047,0.000638047
45,719.351,1.54053,1.10577,1.20508,0.5541,0.41333,0.33101,0.16361,1.85063,1.30172,1.47859,0.000627048,0.000627048,0.000627048
46,735.837,1.54057,1.09376,1.19353,0.60126,0.30156,0.33795,0.17098,1.8907,1.36553,1.51477,0.000616049,0.000616049,0.000616049
47,752.797,1.52657,1.09316,1.19734,0.57055,0.33349,0.35477,0.20389,1.91019,1.28265,1.52456,0.000605051,0.000605051,0.000605051
48,768.738,1.52757,1.06957,1.19519,0.69848,0.37098,0.34671,0.19017,1.85812,1.24072,1.51067,0.000594052,0.000594052,0.000594052
49,783.355,1.49873,1.05954,1.18758,0.54174,0.44111,0.39171,0.20441,1.8942,1.30561,1.51862,0.000583053,0.000583053,0.000583053
50,798.718,1.50558,1.05395,1.18594,0.46557,0.41164,0.34324,0.16891,2.01164,1.28302,1.62355,0.000572054,0.000572054,0.000572054
51,815.735,1.4914,1.02807,1.17302,0.54749,0.37624,0.37146,0.21114,1.8816,1.27752,1.52253,0.000561055,0.000561055,0.000561055
52,831.939,1.48199,1.01221,1.16536,0.73999,0.27962,0.33793,0.2014,1.861,1.24363,1.50644,0.000550056,0.000550056,0.000550056
53,848.105,1.48772,1.02297,1.18751,0.67205,0.3067,0.34051,0.1874,1.92673,1.24544,1.52777,0.000539057,0.000539057,0.000539057
54,862.998,1.46723,1.02204,1.17737,0.53513,0.44893,0.35714,0.17334,1.97333,1.28249,1.56733,0.000528058,0.000528058,0.000528058
55,877.321,1.47224,1.0163,1.17466,0.62283,0.2929,0.37065,0.17356,1.91161,1.26164,1.52097,0.000517059,0.000517059,0.000517059
56,895.193,1.4753,1.02463,1.17368,0.31639,0.42894,0.31051,0.16999,1.89456,1.27657,1.52205,0.00050606,0.00050606,0.00050606
57,913.423,1.44955,0.9908,1.15763,0.54353,0.42452,0.39183,0.20463,1.86553,1.29559,1.51226,0.000495062,0.000495062,0.000495062
58,930.009,1.46121,0.98544,1.15709,0.53777,0.45556,0.38488,0.2085,1.88738,1.2517,1.50482,0.000484063,0.000484063,0.000484063
59,946.603,1.44664,0.99801,1.16378,0.75442,0.27431,0.36566,0.21061,1.95315,1.33385,1.5884,0.000473064,0.000473064,0.000473064
60,960.713,1.45229,0.99516,1.15911,0.49774,0.40658,0.33696,0.20187,1.85382,1.30703,1.49142,0.000462065,0.000462065,0.000462065
61,976.468,1.44246,0.99585,1.14587,0.56367,0.37094,0.34646,0.18105,1.91434,1.27453,1.53075,0.000451066,0.000451066,0.000451066
62,993.054,1.4218,0.95705,1.14486,0.52038,0.35769,0.29932,0.16088,1.93399,1.31996,1.5582,0.000440067,0.000440067,0.000440067
63,1009.81,1.42574,0.96744,1.15348,0.28166,0.44355,0.36641,0.19194,1.93093,1.27271,1.53676,0.000429068,0.000429068,0.000429068
64,1026.7,1.42106,0.95375,1.14932,0.3332,0.36357,0.35714,0.18413,1.92334,1.27333,1.53501,0.000418069,0.000418069,0.000418069
65,1041.83,1.43414,0.95511,1.14744,0.54981,0.41368,0.39305,0.20112,1.92926,1.26566,1.55086,0.00040707,0.00040707,0.00040707
66,1056.45,1.40784,0.94531,1.13651,0.51075,0.32879,0.28261,0.13578,1.95308,1.26866,1.55349,0.000396071,0.000396071,0.000396071
67,1072.66,1.39985,0.92574,1.13288,0.53166,0.45783,0.3879,0.21105,1.9346,1.28449,1.54362,0.000385073,0.000385073,0.000385073
68,1089.87,1.40039,0.94199,1.15221,0.56929,0.32405,0.32436,0.16971,1.92861,1.25755,1.54525,0.000374074,0.000374074,0.000374074
69,1106.79,1.39231,0.9308,1.13299,0.56202,0.34655,0.36097,0.19316,1.92261,1.37257,1.55819,0.000363075,0.000363075,0.000363075
70,1122.27,1.39617,0.90801,1.1386,0.5856,0.30358,0.32215,0.17344,1.92307,1.29146,1.53688,0.000352076,0.000352076,0.000352076
71,1136.36,1.3949,0.92417,1.13127,0.48821,0.39816,0.34706,0.19217,1.95122,1.33661,1.55603,0.000341077,0.000341077,0.000341077
72,1152.5,1.38782,0.91941,1.12866,0.64773,0.28932,0.35835,0.17491,1.92916,1.27548,1.54049,0.000330078,0.000330078,0.000330078
73,1169.04,1.37291,0.9138,1.12554,0.58141,0.35546,0.33866,0.19057,1.95264,1.2962,1.5713,0.000319079,0.000319079,0.000319079
74,1185.93,1.35958,0.9156,1.12317,0.54497,0.41236,0.35122,0.19689,2.00081,1.31405,1.65374,0.00030808,0.00030808,0.00030808
75,1202.43,1.36543,0.90027,1.12662,0.54296,0.39371,0.33071,0.1857,1.99542,1.29954,1.60832,0.000297081,0.000297081,0.000297081
76,1216.39,1.36112,0.89424,1.12696,0.48923,0.40237,0.348,0.19673,1.92776,1.29857,1.55301,0.000286083,0.000286083,0.000286083
77,1230.93,1.35742,0.89428,1.11317,0.59279,0.2994,0.31078,0.17117,1.92571,1.30373,1.57262,0.000275084,0.000275084,0.000275084
78,1247.15,1.35283,0.88395,1.11281,0.46069,0.44086,0.33342,0.18224,1.91094,1.29376,1.54151,0.000264085,0.000264085,0.000264085
79,1263.38,1.33336,0.88722,1.1199,0.57079,0.27985,0.29476,0.16013,1.93212,1.33874,1.55273,0.000253086,0.000253086,0.000253086
80,1279.42,1.33339,0.87407,1.11623,0.54359,0.31309,0.30817,0.17712,1.90222,1.28805,1.53403,0.000242087,0.000242087,0.000242087
81,1296.02,1.33412,0.85912,1.10626,0.58581,0.29692,0.34107,0.18265,1.92937,1.30044,1.5572,0.000231088,0.000231088,0.000231088
82,1309.99,1.33155,0.86651,1.10692,0.5896,0.28883,0.31354,0.1638,1.95358,1.31655,1.61248,0.000220089,0.000220089,0.000220089
83,1325.55,1.33454,0.86087,1.10601,0.55829,0.29089,0.30812,0.16894,1.97146,1.30956,1.61033,0.00020909,0.00020909,0.00020909
84,1341.37,1.32586,0.86436,1.09795,0.53329,0.36369,0.28085,0.14572,1.91901,1.30123,1.55558,0.000198091,0.000198091,0.000198091
85,1357.96,1.3228,0.84612,1.0915,0.52389,0.37219,0.3154,0.16774,1.93205,1.31531,1.56344,0.000187092,0.000187092,0.000187092
86,1374.88,1.33183,0.86934,1.10566,0.48596,0.37637,0.31742,0.1763,1.99467,1.39284,1.60643,0.000176094,0.000176094,0.000176094
87,1390.11,1.32608,0.84774,1.10573,0.5618,0.30275,0.32695,0.18427,1.96347,1.31493,1.59157,0.000165095,0.000165095,0.000165095
88,1404.57,1.31285,0.84754,1.10003,0.58812,0.30126,0.30417,0.17236,1.95914,1.31724,1.56749,0.000154096,0.000154096,0.000154096
89,1419.98,1.3114,0.86031,1.09234,0.53966,0.32084,0.35274,0.18731,1.93728,1.30889,1.57338,0.000143097,0.000143097,0.000143097
90,1436.65,1.30533,0.83423,1.10054,0.47666,0.39733,0.37234,0.17603,1.95133,1.3408,1.58232,0.000132098,0.000132098,0.000132098
91,1454.17,1.30476,0.8623,1.11047,0.48765,0.39505,0.29329,0.14849,1.94168,1.37876,1.57282,0.000121099,0.000121099,0.000121099
92,1469.98,1.28731,0.80975,1.1064,0.50948,0.32636,0.30634,0.15028,1.94707,1.30004,1.60615,0.0001101,0.0001101,0.0001101
93,1485.58,1.26011,0.77558,1.09211,0.54991,0.29663,0.32346,0.16592,1.98203,1.33004,1.63141,9.91012e-05,9.91012e-05,9.91012e-05
94,1499.31,1.24403,0.76384,1.09538,0.5319,0.31666,0.3655,0.18111,1.95852,1.3037,1.59891,8.81023e-05,8.81023e-05,8.81023e-05
95,1513.47,1.2404,0.75398,1.08769,0.54309,0.29552,0.35856,0.18778,1.95038,1.32666,1.60523,7.71034e-05,7.71034e-05,7.71034e-05
96,1529.63,1.2319,0.75291,1.08587,0.5613,0.29724,0.3307,0.17082,1.98118,1.34789,1.63019,6.61045e-05,6.61045e-05,6.61045e-05
97,1545.62,1.23025,0.75113,1.08173,0.55898,0.29331,0.3132,0.16422,1.95916,1.3403,1.60611,5.51056e-05,5.51056e-05,5.51056e-05
98,1559.78,1.22876,0.74446,1.07529,0.56703,0.3062,0.31408,0.16839,1.95821,1.34591,1.59811,4.41067e-05,4.41067e-05,4.41067e-05
99,1573.66,1.2172,0.75361,1.08314,0.57158,0.31199,0.31508,0.16975,1.95797,1.33456,1.60304,3.31078e-05,3.31078e-05,3.31078e-05
100,1589.33,1.22658,0.74796,1.0823,0.55523,0.3062,0.32334,0.18106,1.96841,1.35624,1.60641,2.21089e-05,2.21089e-05,2.21089e-05
